trip_id,start_time,end_time,headway_secs,exact_times
02300LB000_1,7:00:00,24:00:00,180,0
02300LB000_0,7:00:00,24:00:00,180,0
02200LB000_1,6:00:00,24:00:00,180,0
02200LB000_0,6:00:00,24:00:00,180,0
02100LB000_1,5:00:00,24:00:00,180,0
02100LB000_0,5:00:00,24:00:00,180,0
02300LA000_1,7:00:00,24:00:00,240,0
02300LA000_0,7:00:00,24:00:00,240,0
02200LA000_1,6:00:00,24:00:00,240,0
02200LA000_0,6:00:00,24:00:00,240,0
02100LA000_1,5:00:00,24:00:00,240,0
02100LA000_0,5:00:00,24:00:00,240,0
02300L9000_1,7:00:00,24:00:00,180,0
02300L9000_0,7:00:00,24:00:00,180,0
02200L9000_1,6:00:00,24:00:00,180,0
02200L9000_0,6:00:00,24:00:00,180,0
02100L9000_1,5:00:00,24:00:00,180,0
02100L9000_0,5:00:00,24:00:00,180,0
02300L8000_1,7:00:00,24:00:00,240,0
02300L8000_0,7:00:00,24:00:00,240,0
02200L8000_1,6:00:00,24:00:00,240,0
02200L8000_0,6:00:00,24:00:00,240,0
02100L8000_1,5:00:00,24:00:00,240,0
02100L8000_0,5:00:00,24:00:00,240,0
02300L7000_1,7:00:00,24:00:00,240,0
02300L7000_0,7:00:00,24:00:00,240,0
02200L7000_1,6:00:00,24:00:00,240,0
02200L7000_0,6:00:00,24:00:00,240,0
02100L7000_1,5:00:00,24:00:00,240,0
02100L7000_0,5:00:00,24:00:00,240,0
02300L6000_1,7:00:00,24:00:00,240,0
02300L6000_0,7:00:00,24:00:00,240,0
02200L6000_1,6:00:00,24:00:00,240,0
02200L6000_0,6:00:00,24:00:00,240,0
02100L6000_1,5:00:00,24:00:00,240,0
02100L6000_0,5:00:00,24:00:00,240,0
02300L5000_1,7:00:00,24:00:00,180,0
02300L5000_0,7:00:00,24:00:00,180,0
02200L5000_1,6:00:00,24:00:00,180,0
02200L5000_0,6:00:00,24:00:00,180,0
02100L5000_1,5:00:00,24:00:00,180,0
02100L5000_0,5:00:00,24:00:00,180,0
02300L4000_1,7:00:00,24:00:00,240,0
02300L4000_0,7:00:00,24:00:00,240,0
02200L4000_1,6:00:00,24:00:00,240,0
02200L4000_0,6:00:00,24:00:00,240,0
02100L4000_1,5:00:00,24:00:00,240,0
02100L4000_0,5:00:00,24:00:00,240,0
02300L3000_1,7:00:00,24:00:00,180,0
02300L3000_0,7:00:00,24:00:00,180,0
02200L3000_1,6:00:00,24:00:00,180,0
02200L3000_0,6:00:00,24:00:00,180,0
02100L3000_1,5:00:00,24:00:00,180,0
02100L3000_0,5:00:00,24:00:00,180,0
02300L2000_1,7:00:00,24:00:00,180,0
02300L2000_0,7:00:00,24:00:00,180,0
02200L2000_1,6:00:00,24:00:00,180,0
02200L2000_0,6:00:00,24:00:00,180,0
02100L2000_1,5:00:00,24:00:00,180,0
02100L2000_0,5:00:00,24:00:00,180,0
0230L12000_1,7:00:00,24:00:00,180,0
0230L12000_0,7:00:00,24:00:00,180,0
0220L12000_1,6:00:00,24:00:00,150,0
0220L12000_0,6:00:00,24:00:00,150,0
0210L12000_1,5:00:00,24:00:00,120,0
0210L12000_0,5:00:00,24:00:00,120,0
02300L1000_1,7:00:00,24:00:00,240,0
02300L1000_0,7:00:00,24:00:00,240,0
02200L1000_1,6:00:00,24:00:00,240,0
02200L1000_0,6:00:00,24:00:00,240,0
02100L1000_1,5:00:00,24:00:00,240,0
02100L1000_0,5:00:00,24:00:00,240,0
